51
0 1.000000000e+00 -2.143091427e-02
1 7.832661920e-01 1.454081512e-01
2 2.695893279e-01 1.763437709e-01
4 -4.551209150e-01 -7.293023398e-02
5 -3.334031214e-01 -2.116722723e-01
7 2.473272228e-01 -2.922219461e-01
8 2.758937564e-01 -2.112204300e-01
10 -3.654955560e-01 -1.663425615e-01
12 -5.896101670e-01 -1.335974658e-01
15 2.096288342e-01 1.277408443e-01
16 2.349401330e-01 1.408410961e-01
18 -4.458285639e-02 1.378407868e-01
20 -7.616916420e-02 4.291113483e-01
24 8.161788740e-02 -1.501729539e-01
28 2.715323258e-01 -2.315732582e-02
32 -1.024163342e-01 -4.585948903e-01
37 -1.804254396e-01 5.741667622e-01
45 1.858972031e-01 4.820919361e-01
55 1.166640912e-01 -2.376044976e-01
57 -1.860583210e-01 -2.683086618e-01
68 -1.365204060e-01 7.806277463e-02
72 1.160191447e-01 1.215127243e-01
81 -2.112178929e-01 2.060027241e-02
97 8.118590290e-02 3.788401171e-02
115 -3.588835282e-02 3.041944021e-01
117 -8.980304851e-02 5.513531626e-02
137 -1.913346807e-01 1.653830939e-02
164 -4.304364248e-02 -1.568877584e-02
186 3.671043614e-02 1.029223793e-01
198 -1.566622157e-02 -2.717368690e-02
216 -3.052561472e-04 3.107802594e-02
234 -5.275081924e-03 -1.727138294e-02
266 3.390576685e-03 3.029278004e-02
309 2.050359608e-02 2.887604020e-02
364 -2.039739883e-02 2.958309353e-02
407 -2.641888998e-02 4.148286192e-03
414 -8.344863252e-03 -1.067969983e-02
456 -6.583234075e-03 4.237300217e-03
474 6.881090346e-03 -1.692506287e-02
509 5.214208808e-03 5.081489587e-03
594 2.073842435e-03 1.153280420e-02
614 -4.004288906e-03 -2.358829492e-03
647 5.331482002e-03 2.076200879e-03
659 3.579531627e-03 1.921083064e-02
666 9.681296791e-04 -1.189001985e-03
737 -1.438971625e-02 2.720189933e-03
850 -8.666458347e-03 1.030697371e-02
871 -2.226266050e-03 1.612813350e-03
872 -6.588817930e-03 -2.276113762e-03
958 9.661679548e-03 1.667504264e-02
990 -4.293167128e-03 -4.712118702e-03
